Coin;Date & Time (of the trade, not the day you tested);Direction DON'T WRITE HERE;Entry;Stop Loss;Exit;Returns DON'T WRITE HERE;Win / Loss DON'T WIRTE HERE;Total R;Avg. R;;;;;;;;;;;;;;;;;
ETH;17.8.23 12:05;Short; $1 724,50 ; $1 741,20 ; $1 741,20 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;17.8.23 17:35;Short; $1 703,80 ; $1 716,80 ; $1 677,80 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;22.8.23 13:40;Short; $1 620,00 ; $1 638,20 ; $1 638,20 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;22.8.23 17:25;Short; $1 604,60 ; $1 628,30 ; $1 557,20 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;23.8.23 11:05;Long; $1 657,40 ; $1 651,20 ; $1 669,80 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;23.8.23 15:45;Long; $1 695,20 ; $1 680,90 ; $1 680,90 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;23.8.23 21:40;Short; $1 673,60 ; $1 675,70 ; $1 675,70 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;24.8.24 11:25;Short; $1 642,30 ; $1 648,50 ; $1 629,90 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;24.8.23 14:15;Short; $1 642,30 ; $1 649,60 ; $1 627,70 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;24.8.23 16:10;Long; $1 653,50 ; $1 647,60 ; $1 665,30 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;24.8.23 18:20;Long; $1 654,10 ; $1 652,60 ; $1 652,60 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;24.8.23 19:40;Long; $1 656,00 ; $1 654,20 ; $1 659,60 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;24.8.23 22:25;Long; $1 662,50 ; $1 657,60 ; $1 657,60 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;25.8.23 10:40 ;Short; $1 647,60 ; $1 659,80 ; $1 653,90 ;-0,516393443;Loss;;;;;;;;;;;;;;;;;;;
ETH;26.8.23 10:55;Long; $1 651,20 ; $1 649,90 ; $1 649,90 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;26.8.23 13:10;Short; $1 646,30 ; $1 648,40 ; $1 648,40 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;26.8.23 21:55;Long; $1 649,20 ; $1 646,00 ; $1 646,00 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;27.8.23 10:00;Long; $1 651,80 ; $1 649,10 ; $1 657,20 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;27.8.23 21:10;Short; $1 648,60 ; $1 650,60 ; $1 650,60 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;28.8.23 21:15;Long; $1 660,30 ; $1 654,30 ; $1 654,30 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;28.8.23 23:10;Short; $1 650,60 ; $1 652,80 ; $1 651,50 ;-0,409090909;Loss;;;;;;;;;;;;;;;;;;;
ETH;29.8.23 12:20;Long; $1 737,30 ; $1 720,40 ; $1 720,40 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;29.8.23 23:20;Short; $1 713,70 ; $1 717,40 ; $1 706,30 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;30.8.23 12:35;Short; $1 698,30 ; $1 702,80 ; $1 702,80 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;30.8.23 17:10;Long; $1 706,80 ; $1 702,80 ; $1 702,80 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;30.8.23 18:55;Short; $1 701,60 ; $1 704,40 ; $1 704,40 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;30.8.23 21:55;Short; $1 699,40 ; $1 702,00 ; $1 702,00 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;30.8.23 23:20;Short; $1 698,50 ; $1 700,50 ; $1 700,50 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;31.8.23 11:35;Short; $1 697,50 ; $1 701,70 ; $1 689,10 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;31.8.23 12:10;Short; $1 686,00 ; $1 688,70 ; $1 680,60 ;2;Win;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
